url,id,pub,keyword,title
https://data.cdc.gov/resource/24w5-nppr.csv,24w5-nppr,CDC,"art, assisted reproductive technology, clinic, fertility, infertility, services, success rates",2021 final assisted reproductive technology (art) summary
https://data.cdc.gov/resource/25m4-6qqq.csv,25m4-6qqq,National Center for Health Statistics,"nhis, sdoh-access-to-health-care, sdoh-employment, sdoh-food-access, sdoh-food-insecurity, sdoh-higher-education, sdoh-high-school, sdoh-housing-stability, sdoh-poverty-income, sdoh-source-of-health-care, sdoh-use-of-health-care, sdoh-workplace, summary health statistics",nhis adult summary health statistics
https://data.cdc.gov/resource/28km-nz6e.csv,28km-nz6e,data.cdc.gov,"cdc, centers for disease control and prevention","impaired driving death rate, by age and gender, 2012 & 2014, region 4 - atlanta"
https://data.cdc.gov/resource/29ew-qk7z.csv,29ew-qk7z,data.cdc.gov,"cdc, centers for disease control and prevention","motor vehicle occupant death rate, by age and gender, 2012 & 2014, region 3 - philadelphia"
https://data.cdc.gov/resource/29hc-w46k.csv,29hc-w46k,CDC,"age-adjusted rates, age-adjusted rates by race and ethnicity, hospitalization, hospitalization rate, hospitalizations, rate, rates by race and ethnicity, respiratory disease, respiratory illness, respiratory syncytial virus, respiratory virus response, rsv, rsvnet, rsv-net, surveillance",weekly rates of laboratory-confirmed rsv hospitalizations from the rsv-net surveillance system
https://data.cdc.gov/resource/2den-c3u2.csv,2den-c3u2,NCIRD,"children, flu, flu shot, influenza, nis, vaccine coverage","cumulative influenza vaccination coverage differences by race/ethnicity, children 6 months through 17 years, united states"
https://data.cdc.gov/resource/2m93-xvra.csv,2m93-xvra,National Center for Health Statistics,"african americans, age, alaskan natives, allergy, american natives, asian continental ancestry group, asthma, attention deficit/hyperactivity disorder, child, continental population groups, ear diseases, ear infection, emotional or behavioral difficulties, european continental ancestry group, food, health, health us, hispanic americans, hypersensitivity, insurance, medicaid, medically uninsured, mental health, oceanic ancestry group, poverty, respiratory tract diseases, sdoh-access-to-health-care, sdoh-poverty-income, sex, skin","health conditions among children under age 18, by selected characteristics: united states"
https://data.cdc.gov/resource/2na8-fe6s.csv,2na8-fe6s,National Center for Health Statistics,"age, age group, cancer, deaths, hispanic origin, monthly, mortality, nchs, nvss, provisional, race, sex, united states","ah provisional cancer death counts by month and year, 2020-2021"
https://data.cdc.gov/resource/2vpi-n544.csv,2vpi-n544,CDC,"administration, coronavirus, covid-19, immunization, izdl, report date, vaccination","archive: covid-19 vaccination demographic trends by report date, national"
https://data.cdc.gov/resource/372p-dx3h.csv,372p-dx3h,data.cdc.gov,"air pollution, asthma, environmental health, ozone","daily census tract-level ozone concentrations, 2011-2014"
