community,metadata,esri_file_gdb,csv_with_shp,landcover,connectivity,int_dens,pct_st_gs,pct_st_tc,changelog
"Austin, TX",https://enviroatlas.epa.gov/download/ATX_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download/ATX_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download/ATX_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download/ATX_MULC_tif.zip,https://enviroatlas.epa.gov/download/ATX_Conn_tif.zip,https://enviroatlas.epa.gov/download/ATX_IntDen_tif.zip,https://enviroatlas.epa.gov/download/ATX_PctStGS_tif.zip,https://enviroatlas.epa.gov/download/ATX_PctStTC_tif.zip,https://enviroatlas.epa.gov/download/ATX_changelog.txt
"Baltimore, MD",https://enviroatlas.epa.gov/download//BMD_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download//BMD_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download/BMD_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download/BMD_MULC_tif.zip,https://enviroatlas.epa.gov/download/BMD_Conn_tif.zip,https://enviroatlas.epa.gov/download/BMD_IntDen_tif.zip,https://enviroatlas.epa.gov/download/BMD_PctStGS_tif.zip,https://enviroatlas.epa.gov/download/BMD_PctStTC_tif.zip,https://enviroatlas.epa.gov/download/BMD_changelog.txt
"Birmingham, AL",https://enviroatlas.epa.gov/download/BirAL_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download/BirAL_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download/BirAL_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download/BirAL_MULC_tif.zip,https://enviroatlas.epa.gov/download/BirAL_Conn_tif.zip,https://enviroatlas.epa.gov/download/BirAL_IntDen_tif.zip,https://enviroatlas.epa.gov/download/BirAL_PctStGS_tif.zip,https://enviroatlas.epa.gov/download/BirAL_PctStTC_tif.zip,https://enviroatlas.epa.gov/download/BirAL_changelog.txt
"Brownsville, TX",https://enviroatlas.epa.gov/download/BTX_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download/BTX_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download/BTX_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download/BTX_MULC_tif.zip,https://enviroatlas.epa.gov/download/BTX_Conn_tif.zip,https://enviroatlas.epa.gov/download/BTX_IntDen_tif.zip,https://enviroatlas.epa.gov/download/BTX_PctStGS_tif.zip,https://enviroatlas.epa.gov/download/BTX_PctStTC_tif.zip,https://enviroatlas.epa.gov/download/BTX_changelog.txt
"Chicago, IL",https://enviroatlas.epa.gov/download/CIL_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download/CIL_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download/CIL_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download/CIL_MULC_tif.zip,https://enviroatlas.epa.gov/download/CIL_Conn_tif.zip,https://enviroatlas.epa.gov/download/CIL_IntDen_tif.zip,https://enviroatlas.epa.gov/download/CIL_PctStGS_tif.zip,https://enviroatlas.epa.gov/download/CIL_PctStTC_tif.zip,https://enviroatlas.epa.gov/download/CIL_changelog.txt
"Cleveland, OH",https://enviroatlas.epa.gov/download/CleOH_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download/CleOH_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download/CleOH_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download/CleOH_MULC_tif.zip,https://enviroatlas.epa.gov/download/CleOH_Conn_tif.zip,https://enviroatlas.epa.gov/download/CleOH_IntDen_tif.zip,https://enviroatlas.epa.gov/download/CleOH_PctStGS_tif.zip,https://enviroatlas.epa.gov/download/CleOH_PctStTC_tif.zip,https://enviroatlas.epa.gov/download/CleOH_changelog.txt
"Des Moines, IA",https://enviroatlas.epa.gov/download/DMIA_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download/DMIA_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download/DMIA_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download/DMIA_MULC_tif.zip,https://enviroatlas.epa.gov/download/DMIA_Conn_tif.zip,https://enviroatlas.epa.gov/download/DMIA_IntDen_tif.zip,https://enviroatlas.epa.gov/download/DMIA_PctStGS_tif.zip,https://enviroatlas.epa.gov/download/DMIA_PctStTC_tif.zip,https://enviroatlas.epa.gov/download/DMIA_changelog.txt
"Durham, NC",https://enviroatlas.epa.gov/download/DNC_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download/DNC_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download/DNC_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download/DNC_MULC_tif.zip,https://enviroatlas.epa.gov/download/DNC_Conn_tif.zip,https://enviroatlas.epa.gov/download/DNC_IntDen_tif.zip,https://enviroatlas.epa.gov/download/DNC_PctStGS_tif.zip,https://enviroatlas.epa.gov/download/DNC_PctStTC_tif.zip,https://enviroatlas.epa.gov/download/DNC_changelog.txt
"Fresno, CA",https://enviroatlas.epa.gov/download/FCA_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download/FCA_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download/FCA_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download/FCA_MULC_tif.zip,https://enviroatlas.epa.gov/download/FCA_Conn_tif.zip,https://enviroatlas.epa.gov/download/FCA_IntDen_tif.zip,https://enviroatlas.epa.gov/download/FCA_PctStGS_tif.zip,https://enviroatlas.epa.gov/download/FCA_PctStTC_tif.zip,https://enviroatlas.epa.gov/download/FCA_changelog.txt
"Green Bay, WI",https://enviroatlas.epa.gov/download//GBWI_metrics_Apr2020_METADATA.zip,https://enviroatlas.epa.gov/download//GBWI_metrics_Apr2020_FGDB.zip,https://enviroatlas.epa.gov/download//GBWI_metrics_Apr2020_CSV_Shapes.zip,https://enviroatlas.epa.gov/download//GBWI_MULC_tif.zip,https://enviroatlas.epa.gov/download//GBWI_Conn_tif.zip,https://enviroatlas.epa.gov/download//GBWI_IntDen_tif.zip,https://enviroatlas.epa.gov/download//GBWI_PctStGS_tif.zip,https://enviroatlas.epa.gov/download//GBWI_PctStTC_tif.zip,https://enviroatlas.epa.gov/download//GBWI_changelog.txt
